Nr,Cod,Denumire,Denumire scurtă,Localitate,Localitate superioară,Județ,Statut,Tip unitate,Formă de proprietate
2651,3562104089,GRĂDINIȚA CU PROGRAM NORMAL COȘAVA,GPN COȘAVA CURTEA,COŞAVA,CURTEA,TIMIŞ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2652,3162103673,GRĂDINIȚA CU PROGRAM NORMAL COȘEIU,GR.PR.NOR. COȘEIU,COŞEIU,COŞEIU,SĂLAJ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2653,1462102288,Grădinița cu Program Normal Coșeni,GPN. COȘENI,COŞENI,MUNICIPIUL SFÂNTU GHEORGHE,COVASNA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2654,162104641,GRĂDINIȚA CU PROGRAM NORMAL COȘLARIU,GPN COȘLARIU,COŞLARIU,SÂNTIMBRU,ALBA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2655,3362104472,GRĂDINIȚA CU PROGRAM NORMAL COȘNA,GPN COȘNA,COŞNA,COŞNA,SUCEAVA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2656,1662101587,GRĂDINIȚA CU PROGRAM NORMAL COȘOVENI,GRADINITA COSOVENI,COŞOVENI,COŞOVENI,DOLJ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2657,3562105357,GRĂDINIȚA CU PROGRAM NORMAL COȘTEIU,GPN COȘTEIU,COŞTEIU,COŞTEIU,TIMIŞ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2658,2462103219,GRĂDINIȚA CU PROGRAM NORMAL COȘTIUI,GPN COSTIUI,COŞTIUI,RONA DE SUS,MARAMUREŞ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2659,2862104978,GRĂDINIȚA CU PROGRAM NORMAL COTEANA,GPN COTEANA,COTEANA,COTEANA,OLT,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2660,3962103453,GRĂDINIȚA CU PROGRAM NORMAL COTEȘTI,GRĂD.PR.NORMAL COTEȘTI,COTEŞTI,COTEŞTI,VRANCEA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2661,2262102004,"GRĂDINIȚA CU PROGRAM NORMAL, COTNARI",GPN COTNARI,COTNARI,COTNARI,IAŞI,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2662,3362106967,GRĂDINIȚA CU PROGRAM NORMAL COTU BĂII,GPN COTU BĂII,COTU BĂII,FÂNTÂNA MARE,SUCEAVA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2663,962100521,GRĂDINIŢA CU PROGRAM NORMAL COTU LUNG,GRĂDINIŢA CU PROGRAM NORMAL COTU LUNG,COTU LUNG,SILIŞTEA,BRĂILA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2664,362105847,GRĂDINIȚA CU PROGRAM NORMAL COTU MALULUI,GPN COTU MALULUI,COTU MALULUI,LEORDENI,ARGEŞ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2665,1362104061,GRĂDINIŢA CU PROGRAM NORMAL COTU VĂII,GRĂDIN PR NORMAL COTU VĂII,COTU VĂII,ALBEŞTI,CONSTANŢA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2666,2662103338,GRĂDINIȚA CU PROGRAM NORMAL COTUȘ,GPN COTUȘ,COTUŞ,SÂNGEORGIU DE MUREŞ,MUREŞ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2667,1662102597,GRĂDINIȚA CU PROGRAM NORMAL COȚOFENII DIN FAȚĂ,GRADINITA COTOFENII DIN FATA,COŢOFENII DIN FAŢĂ,COŢOFENII DIN FAŢĂ,DOLJ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2668,3562105185,GRĂDINIȚA CU PROGRAM NORMAL COVACI,GPN COVACI SÂNANDREI,COVACI,SÂNANDREI,TIMIŞ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2669,1662103612,GRĂDINIȚA CU PROGRAM NORMAL COVEI,GRADINITA COVEI,COVEI,AFUMAŢI,DOLJ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2670,3962104983,GRĂDINIȚA CU PROGRAM NORMAL COZA,GRĂD.PR.NORMAL COZA,COZA,TULNICI,VRANCEA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2671,2262103507,"GRĂDINIȚA CU PROGRAM NORMAL, COZIA",GPN COZIA,COZIA,COSTULENI,IAŞI,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2672,2262101663,"GRĂDINIȚA CU PROGRAM NORMAL, COZMEŞTI",GPN COZMESTI - COM. COZMESTI,COZMEŞTI,COZMEŞTI,IAŞI,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2673,3562103441,GRĂDINIȚA CU PROGRAM NORMAL CRAI NOU,GPN CRAI NOU GIULVĂZ,CRAI NOU,GIULVĂZ,TIMIŞ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2674,662103293,GRĂDINIȚA CU PROGRAM NORMAL CRAINIMĂT,GPN CRAINIMĂT,CRAINIMĂT,ŞIEU-MĂGHERUŞ,BISTRIŢA-NĂSĂUD,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2675,162104302,GRĂDINIȚA CU PROGRAM NORMAL CRAIVA,GPN CRAIVA,CRAIVA,CRICĂU,ALBA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2676,1462101726,Grădinița cu Program Normal Crasna,GPN. CRASNA,CRASNA,SITA BUZĂULUI,COVASNA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2677,3162103388,GRĂDINIȚA CU PROGRAM NORMAL CRASNA,GR.PR.NOR. CRASNA,CRASNA,CRASNA,SĂLAJ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2678,1862102481,"GRĂDINIȚA CU PROGRAM NORMAL CRASNA DIN DEAL, CRASNA","GRĂD. CU P. N. CRASNA DEAL, CRASNA",CRASNA DIN DEAL,CRASNA,GORJ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2679,2862104847,GRĂDINIȚA CU PROGRAM NORMAL CRĂCIUNEI,GPN CRĂCIUNEI,CRĂCIUNEI,RADOMIREŞTI,OLT,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2680,162100759,GRĂDINIȚA CU PROGRAM NORMAL CRĂCIUNELU DE JOS,GPN CRĂCIUNELU DE JOS,CRĂCIUNELU DE JOS,CRĂCIUNELU DE JOS,ALBA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2681,2662101051,GRĂDINIȚA CU PROGRAM NORMAL CRĂIEȘTI,GPN CRĂIEŞTI,CRĂIEŞTI,CRĂIEŞTI,MUREŞ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2682,2862102076,GRĂDINIȚA CU PROGRAM NORMAL CRÂMPOIA,GPN CRÂMPOIA,CRÂMPOIA,CRÂMPOIA,OLT,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2683,3162102731,GRĂDINIȚA CU PROGRAM NORMAL CREACA,GR.PR.NOR. CREACA,CREACA,CREACA,SĂLAJ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2684,1362104183,GRĂDINIŢA CU PROGRAM NORMAL CREDINŢA,GRĂDIN PR NORMAL CREDINŢA,CREDINŢA,CHIRNOGENI,CONSTANŢA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2685,862102081,Grădinița cu Program Normal Creștin Ortodoxă 'Sfânta Filofteia' Brașov,Grădinița cu PN nr. 3A Brașov,BRAŞOV,MUNICIPIUL BRAŞOV,BRAŞOV,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2686,1562102698,GRĂDINIȚA CU PROGRAM NORMAL CREȚULEȘTI MĂTĂSARU,GPN CREȚULEȘTI MĂTĂSARU,CREŢULEŞTI,MĂTĂSARU,DÂMBOVIŢA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2687,1562102201,GRĂDINIȚA CU PROGRAM NORMAL CREVEDIA,GPN CREVEDIA,CREVEDIA,CREVEDIA,DÂMBOVIŢA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2688,162104329,GRĂDINIȚA CU PROGRAM NORMAL CRICĂU,GPN CRICĂU,CRICĂU,CRICĂU,ALBA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2689,3562105574,GRĂDINIȚA CU PROGRAM NORMAL CRICIOVA,GPN CRICIOVA,CRICIOVA,CRICIOVA,TIMIŞ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2690,1562104108,GRĂDINIȚA CU PROGRAM NORMAL CRICOV VALEA LUNGĂ,GPN CRICOV VALEA LUNGĂ,VALEA LUNGĂ-CRICOV,VALEA LUNGĂ,DÂMBOVIŢA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2691,862102339,Grădinița cu Program Normal Crihalma,Grădinița cu PN Crihalma,CRIHALMA,COMANA,BRAŞOV,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2692,462102612,GRĂDINIȚA CU PROGRAM NORMAL CRIHAN,GRĂDINIȚA GPN CRIHAN,CRIHAN,MĂGURA,BACĂU,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2693,2262106822,"GRĂDINIȚA CU PROGRAM NORMAL, CRISTEŞTI - com. Holboca",GPN CRISTESTI,CRISTEŞTI,HOLBOCA,IAŞI,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2694,662103397,GRĂDINIȚA CU PROGRAM NORMAL CRISTEȘTII CICEULUI,GPN CRISTEȘTII CICEULUI,CRISTEŞTII CICEULUI,URIU,BISTRIŢA-NĂSĂUD,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2695,3162102559,GRĂDINIȚA CU PROGRAM NORMAL CRISTOLȚ,GR.PR.NOR. CRISTOLȚ,CRISTOLŢ,CRISTOLŢ,SĂLAJ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2696,3162102315,GRĂDINIȚA CU PROGRAM NORMAL CRISTOLȚEL,GR.PR.NOR. CRISTOLȚEL,CRISTOLŢEL,SURDUC,SĂLAJ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2697,1262100687,"GRĂDINIȚA CU PROGRAM NORMAL CRISTOREL, COM. AȘCHILEU","GRĂDINIȚA CU PN CRISTOREL, COM. AȘCHILEU",CRISTOREL,AŞCHILEU,CLUJ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2698,3162101558,GRĂDINIȚA CU PROGRAM NORMAL CRISTUR CRIȘENI,GR.PR.NOR. CRISTUR CRIȘENI,CRISTUR CRIŞENI,CRIŞENI,SĂLAJ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2699,662101748,GRĂDINIȚA CU PROGRAM NORMAL CRISTUR-ȘIEU,GPN CRISTUR-ȘIEU,CRISTUR-ŞIEU,ŞIEU-ODORHEI,BISTRIŢA-NĂSĂUD,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2700,2662107324,GRĂDINIȚA CU PROGRAM NORMAL CRIȘ,GPN CRIŞ,CRIŞ,DANEŞ,MUREŞ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2701,1362106009,GRĂDINIȚA CU PROGRAM NORMAL CRIȘAN,GPN CRIȘAN,CRIŞAN,CRUCEA,CONSTANŢA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2702,2062102916,GRĂDINIȚA CU PROGRAM NORMAL CRIȘENI,GRĂDINIȚA CU PROGRAM NORMAL CRIȘENI,CĂLAN,ORAŞ CĂLAN,HUNEDOARA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2703,3162101549,GRĂDINIȚA CU PROGRAM NORMAL CRIȘENI,GR.PR.NOR. CRIȘENI,CRIŞENI,CRIŞENI,SĂLAJ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2704,3162103985,GRĂDINIȚA CU PROGRAM NORMAL CRIȘTELEC,GR.PR.NOR. CRIȘTELEC,CRIŞTELEC,MĂERIŞTE,SĂLAJ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2705,862102764,Grădinița cu Program Normal Criț,Grădinița cu PN Criț,CRIŢ,BUNEŞTI,BRAŞOV,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2706,2562101256,GRĂDINIȚA CU PROGRAM NORMAL CRIVINA,G.P.N . CRIVINA,CRIVINA,BURILA MARE,MEHEDINŢI,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2707,3562103518,GRĂDINIȚA CU PROGRAM NORMAL CRIVINA DE SUS,GPN CRIVINA PIETROASA,CRIVINA DE SUS,PIETROASA,TIMIŞ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2708,862104092,Grădinița cu Program Normal Crizbav,Grădinița cu PN Crizbav,CRIZBAV,CRIZBAV,BRAŞOV,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2709,1562100452,GRĂDINIȚA CU PROGRAM NORMAL CROITORI ULIEȘTI,GPN CROITORI ULIEȘTI,CROITORI,ULIEŞTI,DÂMBOVIŢA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2710,1562103921,GRĂDINIȚA CU PROGRAM NORMAL CROVU ODOBEȘTI,GPN CROVU ODOBEȘTI,CROVU,ODOBEŞTI,DÂMBOVIŢA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2711,1362102968,GRĂDINIŢA CU PROGRAM NORMAL CRUCEA,GRĂDIN PR NORMAL CRUCEA,CRUCEA,CRUCEA,CONSTANŢA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2712,3362106881,GRĂDINIȚA CU PROGRAM NORMAL CRUCEA,GPN CRUCEA,CRUCEA,CRUCEA,SUCEAVA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2713,3562105416,GRĂDINIȚA CU PROGRAM NORMAL CRUCENI,GPN CRUCENI FOENI,CRUCENI,FOENI,TIMIŞ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2714,3062100735,GRĂDINIȚA CU PROGRAM NORMAL CRUCIȘOR,GPN CRUCIȘOR,CRUCIŞOR,CRUCIŞOR,SATU MARE,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2715,1862102897,GRĂDINIȚA CU PROGRAM NORMAL CRUȘEȚ,GRĂD. CU P. N. CRUȘEȚ,CRUŞET,CRUŞET,GORJ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2716,2862102275,GRĂDINIȚA CU PROGRAM NORMAL CRUȘOVU,GPN CRUȘOVU,CRUŞOVU,BRASTAVĂŢU,OLT,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2717,2462105275,GRĂDINIȚA CU PROGRAM NORMAL CU TREI SĂLI DE GRUPĂ,GPN CU 3 SALI,SIGHETU MARMAŢIEI,MUNICIPIUL SIGHETU MARMAŢIEI,MARAMUREŞ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2718,3162101644,GRĂDINIȚA CU PROGRAM NORMAL CUCEU,GR.PR.NOR. CUCEU,CUCEU,ORAŞ JIBOU,SĂLAJ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2719,2762101244,"GRĂDINIȚA CU PROGRAM NORMAL CUCI, COMUNA BOZIENI","GPN, CUCI",CUCI,BOZIENI,NEAMŢ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2720,862102452,Grădinița cu Program Normal Cuciulata,Grădinița cu PN Cuciulata,CUCIULATA,HOGHIZ,BRAŞOV,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2721,2862103611,GRĂDINIȚA CU PROGRAM NORMAL CUCUIEȚI,GPN CUCUIEȚI,CUCUEŢI,VERGULEASA,OLT,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2722,2462102955,GRĂDINIȚA CU PROGRAM NORMAL CUFOAIA,GPN CUFOAIA,CUFOAIA,ORAŞ TÂRGU LĂPUŞ,MARAMUREŞ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2723,2562101179,GRĂDINIȚA CU PROGRAM NORMAL CUJMIRUL MIC,GPN CUJMIRUL MIC,CUJMIRU MIC,CUJMIR,MEHEDINŢI,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2724,1362102109,GRĂDINIŢA CU PROGRAM NORMAL CULMEA,GRĂDIN PR NORMAL CULMEA,OVIDIU,ORAŞ OVIDIU,CONSTANŢA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2725,3362107597,GRĂDINIȚA CU PROGRAM NORMAL CUMPĂRĂTURA,GPN CUMPĂRĂTURA,CUMPĂRĂTURA,BOSANCI,SUCEAVA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2726,162100397,GRĂDINIȚA CU PROGRAM NORMAL CUNȚA,GPN CUNȚA,CUNŢA,ŞPRING,ALBA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2727,1162101242,GRĂDINIŢA CU PROGRAM NORMAL CUPTOARE,GPN CUPTOARE,CUPTOARE,CORNEA,CARAŞ-SEVERIN,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2728,3262100551,GRĂDINIŢA CU PROGRAM NORMAL CURCIU,GPN CURCIU,CURCIU,DÂRLOS,SIBIU,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2729,1662101714,"GRĂDINIȚA CU PROGRAM NORMAL ""CURCUBEU"" RĂCARII DE JOS",GRADINITA RACARI,RĂCARII DE JOS,BRĂDEŞTI,DOLJ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2730,562103928,"GRĂDINIȚA CU PROGRAM NORMAL „CURCUBEU"" SALONTA","GPN „CURCUBEU"" SALONTA",SALONTA,MUNICIPIUL SALONTA,BIHOR,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2731,3362107665,GRĂDINIȚA CU PROGRAM NORMAL ”CURCUBEU” ȘARU DORNEI,GPN ”CURCUBEU” ȘARU DORNEI,ŞARU DORNEI,ŞARU DORNEI,SUCEAVA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2732,2962104244,"GRĂDINIȚA CU PROGRAM NORMAL ""CURCUBEUL MAGIC"", SAT COCOȘEȘTI, COMUNA PĂULEȘTI","GRADINITA ""CURCUBEUL MAGIC"" COCOSESTI PAULESTI",COCOŞEŞTI,PĂULEŞTI,PRAHOVA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2733,462106272,GRĂDINIȚA CU PROGRAM NORMAL CURIȚA,GRĂDINIȚA CURIŢA,CURIŢA,CAŞIN,BACĂU,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2734,3562104062,GRĂDINIȚA CU PROGRAM NORMAL CURTEA,GPN CURTEA,CURTEA,CURTEA,TIMIŞ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2735,2662102676,GRĂDINIȚA CU PROGRAM NORMAL CURTENI,GPN CURTENI,CURTENI,SÂNTANA DE MUREŞ,MUREŞ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2736,2862101473,GRĂDINIȚA CU PROGRAM NORMAL CURTIȘOARA,GPN CURTIȘOARA,CURTIŞOARA,CURTIŞOARA,OLT,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2737,1862101236,"GRĂDINIȚA CU PROGRAM NORMAL CURTIȘOARA, BUMBEȘTI-JIU","GRĂD. P.N. CURTIȘOARA, BUMBEȘTI-JIU",CURTIŞOARA,ORAŞ BUMBEŞTI-JIU,GORJ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2738,962103058,GRĂDINIŢA CU PROGRAM NORMAL CUSTURA,GRĂDINIŢA CU PROGRAM NORMAL CUSTURA,CUSTURA,RACOVIŢĂ,BRĂILA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2739,162100646,GRĂDINIȚA CU PROGRAM NORMAL CUT,GPN CUT,CUT,CUT,ALBA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2740,3562102734,GRĂDINIȚA CU PROGRAM NORMAL CUTINA,GPN CUTINA BETHAUSEN,CUTINA,BETHAUSEN,TIMIŞ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2741,862104074,Grădinița cu Program Normal Cutuș,Grădinița cu PN Cutuș,CUTUŞ,CRIZBAV,BRAŞOV,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2742,1362102683,GRĂDINIŢA CU PROGRAM NORMAL CUZA VODĂ,GRĂDIN PR NORMAL CUZA VODĂ,CUZA VODĂ,CUZA VODA,CONSTANŢA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2743,962101169,GRĂDINIŢA CU PROGRAM NORMAL CUZA VODĂ,GRĂDINIŢA CU PROGRAM NORMAL CUZA VODĂ,CUZA VODĂ,SALCIA TUDOR,BRĂILA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2744,962100792,GRĂDINIŢA CU PROGRAM NORMAL CUZA VODĂ,GRĂDINIŢA CU PROGRAM NORMAL CUZA VODĂ,CUZA VODĂ,STĂNCUŢA,BRĂILA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2745,3162101341,GRĂDINIȚA CU PROGRAM NORMAL CUZĂPLAC,GR.PR.NOR. CUZĂPLAC,CUZĂPLAC,CUZĂPLAC,SĂLAJ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2746,862104513,Grădinița cu Program Normal Dacia,Grădinița cu PN Dacia,DACIA,JIBERT,BRAŞOV,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2747,2262103222,"GRĂDINIȚA CU PROGRAM NORMAL, DAGÂȚA",GPN DAGATA,DAGÂŢA,DAGÂŢA,IAŞI,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2748,3262102951,GRĂDINIŢA CU PROGRAM NORMAL DAIA,GPN DAIA,DAIA,ROŞIA,SIBIU,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2749,162101095,GRĂDINIȚA CU PROGRAM NORMAL DAIA ROMÂNĂ,GPN DAIA ROMÂNĂ,DAIA ROMÂNĂ,DAIA ROMÂNĂ,ALBA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2750,1162101952,GRĂDINIŢA CU PROGRAM NORMAL DALBOŞEŢ,GPN DALBOSET,DALBOŞEŢ,DALBOŞEŢ,CARAŞ-SEVERIN,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2751,1462101604,Grădinița cu Program Normal Dalnic,GPN. DALNIC,DALNIC,DALNIC,COVASNA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2752,1662104301,GRĂDINIȚA CU PROGRAM NORMAL DAMIAN-SADOVA,GRADINITA DAMIAN-SADOVA,SADOVA,SADOVA,DOLJ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2753,2262102397,"GRĂDINIȚA CU PROGRAM NORMAL, DANCU",GPN DANCU,DANCU,HOLBOCA,IAŞI,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2754,2662107315,GRĂDINIȚA CU PROGRAM NORMAL DANEȘ,GPN DANEŞ,DANEŞ,DANEŞ,MUREŞ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2755,1362103969,GRĂDINIŢA CU PROGRAM NORMAL DARABANI,GRĂDIN PR NORMAL DARABANI,DARABANI,ORAŞ NEGRU VODĂ,CONSTANŢA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2756,3562102603,GRĂDINIȚA CU PROGRAM NORMAL DAROVA,GPN DAROVA,DAROVA,DAROVA,TIMIŞ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2757,862104201,Grădinița cu Program Normal Dăișoara,Grădinița cu PN Dăișoara,DĂIŞOARA,UNGRA,BRAŞOV,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2758,2462102489,GRĂDINIȚA CU PROGRAM NORMAL DĂNEȘTI,GPN DANESTI,DĂNEŞTI,ŞISEŞTI,MARAMUREŞ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2759,3362101804,GRĂDINIȚA CU PROGRAM NORMAL DĂNILA,GPN DĂNILA,DĂNILA,DĂRMĂNEŞTI,SUCEAVA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2760,3362101799,GRĂDINIȚA CU PROGRAM NORMAL DĂRMĂNEȘTI,GPN DĂRMĂNEȘTI,DĂRMĂNEŞTI,DĂRMĂNEŞTI,SUCEAVA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2761,1562103211,GRĂDINIȚA CU PROGRAM NORMAL DĂRMĂNEȘTI,GPN DĂRMĂNEȘTI,DĂRMĂNEŞTI,DĂRMĂNEŞTI,DÂMBOVIŢA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2762,2662103573,GRĂDINIȚA CU PROGRAM NORMAL DÂMBĂU,GPN DÂMBĂU,DÂMBĂU,ADĂMUŞ,MUREŞ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2763,1562103238,GRĂDINIȚA CU PROGRAM NORMAL DÂMBOVICIOARA BRANIȘTEA,GPN DÂMBOVICIOARA BRANIȘTEA,DÂMBOVICIOARA,BRANIŞTEA,DÂMBOVIŢA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2764,2962101295,"GRĂDINIȚA CU PROGRAM NORMAL DÂMBU, ORAȘUL BĂICOI",GPN DÂMBU BĂICOI,DÂMBU,ORAŞ BĂICOI,PRAHOVA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2765,3262100542,GRĂDINIŢA CU PROGRAM NORMAL DÂRLOS,GPN DÂRLOS,DÂRLOS,DÂRLOS,SIBIU,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2766,1562102237,GRĂDINIȚA CU PROGRAM NORMAL DÂRZA CREVEDIA,GPN DÂRZA CREVEDIA,DÂRZA,CREVEDIA,DÂMBOVIŢA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2767,362106192,GRĂDINIȚA CU PROGRAM NORMAL DEAGURILE,GPN DEAGURILE,DEAGU DE SUS,RECEA,ARGEŞ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2768,2662105896,GRĂDINIȚA CU PROGRAM NORMAL DEAJ,GPN DEAJ,DEAJ,MICA,MUREŞ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2769,162100664,GRĂDINIȚA CU PROGRAM NORMAL DEAL,GPN DEAL,DEAL,CÂLNIC,ALBA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2770,3062102823,GRĂDINIȚA CU PROGRAM NORMAL DEALU MARE,GPN DEALU MARE,VIILE SATU MARE,VIILE SATU MARE,SATU MARE,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2771,1162103099,GRĂDINIŢA CU PROGRAM NORMAL DEALU MARE REŞIŢA,GPN NR 12 RESITA,REŞIŢA,MUNICIPIUL REŞIŢA,CARAŞ-SEVERIN,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2772,462104184,GRĂDINIȚA CU PROGRAM NORMAL DEALU MORII,GRĂDINIȚA GPN DEALU MORII,DEALU MORII,DEALU MORII,BACĂU,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2773,662102586,GRĂDINIȚA CU PROGRAM NORMAL DEALU ȘTEFĂNIȚEI,GPN DEALU ȘTEFĂNIȚEI,DEALU ŞTEFĂNIŢEI,ROMULI,BISTRIŢA-NĂSĂUD,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2774,1862101738,GRĂDINIȚA CU PROGRAM NORMAL DEALU VIILOR CĂTUNELE,"GRĂD. CU P. N. DEALU VIILOR, CĂTUNELE",DEALU VIILOR,CĂTUNELE,GORJ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2775,162100949,GRĂDINIȚA CU PROGRAM NORMAL DECEA,GPN DECEA,DECEA,MIRĂSLĂU,ALBA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2776,1562103084,GRĂDINIȚA CU PROGRAM NORMAL DECINDENI DRAGOMIREȘTI,GPN DECINDENI DRAGOMIREȘTI,DECINDENI,DRAGOMIREŞTI,DÂMBOVIŢA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
