Nr,Cod,Denumire,Denumire scurtă,Localitate,Localitate superioară,Județ,Statut,Tip unitate,Formă de proprietate
2630,1162101088,GRĂDINIŢA CU PROGRAM NORMAL CORNIŞORU,GPN CORNISOR,CORNIŞORU,BĂUŢAR,CARAŞ-SEVERIN,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2631,1662101637,GRĂDINIȚA CU PROGRAM NORMAL CORNU,GRADINITA CORNU,CORNU,ORODEL,DOLJ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2632,1162101708,GRĂDINIŢA CU PROGRAM NORMAL CORNUŢEL,GPN CORNUTEL,CORNUŢEL,PĂLTINIŞ,CARAŞ-SEVERIN,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2633,1862104881,"GRĂDINIȚA CU PROGRAM NORMAL COROBĂI, DRĂGOTEȘTI","GRĂD. CU P. N. COROBĂI, DRĂGOTEȘTI",COROBĂI,DRĂGOTEŞTI,GORJ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2634,3362106325,GRĂDINIȚA CU PROGRAM NORMAL COROCĂIEȘTI,GPN COROCĂIEȘTI,COROCĂIEŞTI,VEREŞTI,SUCEAVA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2635,2662103026,GRĂDINIȚA CU PROGRAM NORMAL COROISÂNMĂRTIN,GPN COROISÂNMĂRTIN,COROISÂNMĂRTIN,COROISÂNMĂRTIN,MUREŞ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2636,1162100933,GRĂDINIŢA CU PROGRAM NORMAL CORONINI,GPN CORONINI,CORONINI,CORONINI,CARAŞ-SEVERIN,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2637,3962104219,GRĂDINIȚA CU PROGRAM NORMAL COROTENI,GRĂD.PR.NORMAL COROTENI,COROTENI,SLOBOZIA BRADULUI,VRANCEA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2638,1262100728,"GRĂDINIȚA CU PROGRAM NORMAL CORPADEA, COM. APAHIDA","GRĂDINIȚA CU PN CORPADEA, COM. APAHIDA",CORPADEA,APAHIDA,CLUJ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2639,2662103799,GRĂDINIȚA CU PROGRAM NORMAL CORUNCA,GPN CORUNCA,CORUNCA,CORUNCA,MUREŞ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2640,1262100859,"GRĂDINIȚA CU PROGRAM NORMAL CORUȘU, COM. BACIU","GRĂDINIȚA CU PN CORUȘU, COM BACIU",CORUŞU,BACIU,CLUJ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2641,1362104545,GRĂDINIŢA CU PROGRAM NORMAL COSLUGEA,GRĂDIN PR NORMAL COSLUGEA,COSLUGEA,LIPNIŢA,CONSTANŢA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2642,3162103872,GRĂDINIȚA CU PROGRAM NORMAL COSNICIU DE JOS,GR.PR.NOR. COSNICIU DE JOS,COSNICIU DE JOS,IP,SĂLAJ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2643,2462103698,GRĂDINIȚA CU PROGRAM NORMAL COSTENI,GPN COSTENI,COSTENI,CUPŞENI,MARAMUREŞ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2644,1862100823,"GRĂDINIȚA CU PROGRAM NORMAL COSTENI, TISMANA","GRĂD. CU P. N. COSTENI, TISMANA",COSTENI,ORAŞ TISMANA,GORJ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2645,162103961,GRĂDINIȚA CU PROGRAM NORMAL COSTEȘTI,GPN COSTEȘTI,COSTEŞTI,POIANA VADULUI,ALBA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2646,2062102174,GRĂDINIȚA CU PROGRAM NORMAL COSTEȘTI,GRĂDINIȚA CU PROGRAM NORMAL COSTEȘTI,COSTEŞTI,ORĂŞTIOARA DE SUS,HUNEDOARA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2647,1562100502,GRĂDINIȚA CU PROGRAM NORMAL COSTEȘTII DIN DEAL PRODULEȘTI,GPN COSTEȘTII DIN DEAL PRODULEȘTI,COSTEŞTII DIN DEAL,PRODULEŞTI,DÂMBOVIŢA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2648,3962105568,GRĂDINIȚA CU PROGRAM NORMAL COSTIȘA,GRĂD.PR.NORMAL COSTIȘA,COSTIŞA,HOMOCEA,VRANCEA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2649,2762103911,GRĂDINIȚA CU PROGRAM NORMAL COSTIȘA - MĂNOAIA,"GPN, MĂNOAIA",MĂNOAIA,COSTIŞA,NEAMŢ,Arondată,Unitate de învățământ,Publică de interes naţional şi local
2650,2262103493,"GRĂDINIȚA CU PROGRAM NORMAL, COSTULENI",GPN COSTULENI,COSTULENI,COSTULENI,IAŞI,Arondată,Unitate de învățământ,Publică de interes naţional şi local
